# Rime user dictionary
#@/db_name	bopomo_onion.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	231
#@/user_id	cceb415b-5f81-4c04-ac57-7d03c69a9c63
a1 	阿	c=0 d=0.26358 t=231
shei2 zhe4 me5 guo4 fen4 	誰這麼過分	c=1 d=0.425283 t=231
shen1 ti3 	身體	c=0 d=0.1 t=224
shen2 me5 	什麼	c=1 d=1.00707 t=231
shen2 me5 la5 	什麼啦	c=1 d=0.416862 t=231
sheng1 	生	c=1 d=0.447088 t=231
shi1 xiao4 	失效	c=1 d=1 t=223
shi2 	時	c=0 d=0.0404542 t=231
shi2 jian1 	時間	c=0 d=0.132548 t=231
shi2 zai4 tai4 	實在太	c=0 d=0.0447088 t=231
shi3 yong4 	使用	c=1 d=0.630343 t=231
shi3 yong4 de5 	使用的	c=1 d=0.565525 t=231
shi3 yong4 shou4 ming4 	使用壽命	c=0 d=0.0666977 t=231
shi3 yong4 zhe3 	使用者	c=1 d=0.782705 t=231
shi4 	是	c=0 d=0.12387 t=231
shi4 ba3 	是把	c=0 d=0.0634448 t=231
shi4 he2 	適合	c=0 d=0.0499074 t=231
shi4 you2 	是由	c=0 d=0.066034 t=231
shou3 ji1 	手機	c=0 d=0.0941765 t=231
shou3 ji1 hai2 neng2 kan4 	手機還能看	c=1 d=0.946485 t=231
shu1 qiu2 	輸球	c=0 d=0.0425283 t=231
shu1 ru4 	輸入	c=0 d=0.166373 t=231
shu1 ru4 fa3 	輸入法	c=0 d=0.343563 t=231
shu1 ru4 fa3 de5 yang4 shi4 	輸入法的樣式	c=1 d=0.640824 t=231
shu1 ru4 fa3 shi2 zai4 tai4 nan2 yong4 le5 	輸入法實在太難用了	c=1 d=0.449329 t=231
shu3 xu1 guan3 	鼠鬚管	c=11 d=6.76658 t=231
si3 le5 	死了	c=0 d=0.1 t=190
su4 zhi2 	素質	c=0 d=0.0697676 t=231
sui1 ran2 	雖然	c=0 d=0.0640824 t=231
sui1 ran2 zhe4 yang4 ke3 yi3 bu4 yi1 lai4 	雖然這樣可以不依賴	c=1 d=0.644036 t=231
suo3 yi3 	所以	c=0 d=0.0666977 t=231
suo3 yi3 hai2 shi4 hui4 you3 shi3 yong4 shou4 ming4 de5 wen4 ti2 	所以還是會有使用壽命的問題	c=1 d=0.67032 t=231
ta1 	他	c=0 d=0.0891366 t=231
tiao2 se4 pan2 	調色盤	c=1 d=0.641314 t=231
tiao2 zheng3 	調整	c=0 d=0.0404542 t=231
ting1 de5 	聽得	c=0 d=0.0609571 t=231
ting1 de5 wo3 xiang4 shi4 tou2 zai4 xuan2 zhuan3 yi1 yang4 	聽得我像是投在旋轉一樣	c=1 d=0.612626 t=231
ting1 qi3 lai2 	聽起來	c=0 d=0.0860708 t=231
ting1 qi3 lai2 yi4 you3 suo3 zhi3 	聽起來意有所指	c=1 d=0.865022 t=231
ting1 shuo1 	聽說	c=0 d=0.0852144 t=231
ting1 shuo1 bu4 hao3 chi1 	聽說不好吃	c=1 d=0.856415 t=231
tong2 yin1 	同音	c=1 d=1 t=201
tou2 	頭	c=1 d=0.615697 t=231
tou2 zai4 	投在	c=0 d=0.0609571 t=231
tu2 pian4 	圖片	c=0 d=0.0628135 t=231
tu2 pian4 lai2 yuan2 	圖片來源	c=1 d=0.631284 t=231
tui1 jian4 	推薦	c=0 d=0.0425283 t=231
tui1 jian4 ni3 yi1 ge5 zen3 da3 me5 da3 dou1 shu1 qiu2 de5 dong4 hua4 	推薦你一個怎打麼打都輸球的動畫	c=1 d=0.427415 t=231
wan2 	完	c=1 d=0.767206 t=231
wan2 	玩	c=0 d=0.0759572 t=231
wei4 	爲	c=0 d=0.0412714 t=231
wei4 le5 	爲了	c=0 d=0.1 t=227
wei4 shen2 me5 wen4 zhe4 ge5 	爲什麼問這個	c=1 d=0.414783 t=231
wei4 zhi4 	位置	c=1 d=0.474533 t=231
wen2 zi4 	文字	c=0 d=0.117489 t=231
wen2 zi4 bian1 kuang1 	文字邊框	c=1 d=0.609571 t=231
wen2 zi4 pi2 fu1 	文字皮膚	c=1 d=0.571209 t=231
wen4 	問	c=0 d=0.0412714 t=231
